created_at,created_by,message,team
2017-02-18T22:50:52Z,user1,Fix email confirmation error bug,team2
2017-02-18T22:41:40Z,user1,Fix Error of email not confirmed appearing null.,team2
2017-02-18T21:59:09Z,user1,"Merge pull request #49 from SE17GroupH/sid

Sid",team2
2017-02-18T21:55:46Z,user1,Add Voice instructions and Improve UI layout.,team2
2017-02-18T21:34:24Z,user1,Improve voice login functionality. Bug fixes.,team2
2017-02-18T18:34:15Z,user1,Big changes. Implement Speaker recognition api calls and functionality. Fix many things.,team2
2017-02-18T00:24:30Z,user1,"Merge pull request #43 from SE17GroupH/sid

Sid",team2
2017-02-18T00:20:11Z,user1,Merge branch 'master' into sid,team2
2017-02-18T00:15:18Z,user1,Refactor code. Add some UI views,team2
2017-02-18T00:14:51Z,user2,"Merge pull request #42 from SE17GroupH/kg

added voice recording for enrollment and verification",team2
2017-02-17T23:45:59Z,user2,added voice recording for enrollment and verification,team2
2017-02-17T23:29:45Z,user1,Move secret keys to SubKey.java and add to gitignore. Resolve merge conflicts,team2
2017-02-17T23:09:00Z,user2,"Merge pull request #41 from SE17GroupH/kg

added voice recording",team2
2017-02-17T23:08:56Z,user1,ignore SubKey.java that contains api keys to Microsoft Congitive Speaker Recognition service,team2
2017-02-17T23:08:21Z,user2,added voice recording,team2
2017-02-17T23:03:08Z,user1,change gitignore,team2
2017-02-17T22:40:02Z,user1,merge master branch. resolve small conflict,team2
2017-02-17T22:31:06Z,user1,Commit gitignore,team2
2017-02-17T22:30:45Z,user1,Small changes,team2
2017-02-17T22:18:26Z,user1,add small api call,team2
2017-02-17T21:46:13Z,user2,"Merge pull request #40 from SE17GroupH/kg

Kg",team2
2017-02-17T21:41:14Z,user2,solve merge conflict,team2
2017-02-17T20:11:50Z,user2,minor changes,team2
2017-02-17T05:02:00Z,user1,"Merge pull request #39 from SE17GroupH/sid

Improve a bunch of things",team2
2017-02-17T04:57:35Z,user1,"Implement logout api call. Save email, password at login. Improve validation at registration.",team2
2017-02-16T23:09:42Z,user1,"Merge pull request #32 from SE17GroupH/sid

Add Registration and Logging plus Fingerprint auth enhancements.",team2
2017-02-16T23:07:08Z,user1,"Add validation for email and password. Remove auth mode choosing at register page. Remove logging in from registration page, now redirect to login page.",team2
2017-02-16T19:46:22Z,user1,"After fingerprint auth Redirect to Profile activity. Refactor code, delete unecessary files. Add some resource files",team2
2017-02-16T18:06:26Z,user1,Parse JSON response and display error messages.,team2
2017-02-16T01:01:10Z,user2,added URL linking skeleton,team2
2017-02-15T08:13:52Z,user1,Switch to okHttp library. Working Json response. Create helper class.Clean up code.,team2
