closed_at,closed_issues,created_at,created_by,description,due_on,id,number,open_issues,state,team,title,updated_at
,4,2017-01-26T22:00:41Z,user1,Study github issues,2017-04-07T07:00:00Z,2281097,3,0,open,team8,March Milestone (Due April 7),2017-04-18T19:26:54Z
2017-03-30T21:25:12Z,18,2017-02-22T00:48:16Z,user1,,2017-03-14T07:00:00Z,2339339,8,0,closed,team8,Approach 2,2017-04-06T21:29:05Z
2017-03-30T21:25:34Z,0,2017-02-07T17:48:55Z,user2,Testing all the parts of the project.,2017-02-27T08:00:00Z,2306424,6,0,closed,team8,Testing,2017-03-30T21:25:34Z
2017-03-30T21:25:27Z,0,2017-03-01T15:13:22Z,timm,,,2356328,9,0,closed,team8,"mits from on eperson, ever, on this roject",2017-03-30T21:25:27Z
2017-03-30T21:25:15Z,4,2017-02-07T17:48:32Z,user2,,2017-02-23T08:00:00Z,2306423,5,0,closed,team8,Coding and implementation,2017-03-30T21:25:15Z
2017-02-23T01:38:11Z,1,2017-02-07T18:01:54Z,user2,Complete this before starting on other approaches,2017-02-23T08:00:00Z,2306466,7,0,closed,team8,Core implementation,2017-02-23T01:38:11Z
2017-02-22T00:48:07Z,4,2017-02-07T17:47:41Z,user2,"Since design is the most important part for any project, let us finalize this first.",2017-02-11T08:00:00Z,2306422,4,0,closed,team8,Finalize design for all approaches,2017-02-22T00:48:07Z
2017-02-07T00:43:38Z,5,2017-01-26T22:00:06Z,user1,The research paper among other things,2017-01-31T08:00:00Z,2281094,1,0,closed,team8,January Deadline,2017-02-07T00:43:38Z
2017-02-28T05:30:14Z,8,2017-02-07T21:20:35Z,user3,"Study and Implement the code for all three solutions
1. NFC
2. GPS
3. QR Code

Simultaneously test the features.",2017-02-28T08:00:00Z,2306939,2,0,closed,team9,Code development and Testing,2017-02-28T05:30:14Z
2017-02-28T05:30:11Z,2,2017-02-07T21:22:11Z,user3,Final system testing and deployment as Android application,2017-02-28T08:00:00Z,2306942,3,0,closed,team9,Final Testing and Deployment,2017-02-28T05:30:11Z
2017-02-14T04:32:00Z,4,2017-02-07T21:18:22Z,user3,"Coming up with the high level design.
- Front End
- Back End
- Analysis of System Requirements and finding APIs 
",2017-02-13T08:00:00Z,2306932,1,0,closed,team9,Software Design ,2017-02-14T04:32:00Z
2017-02-07T21:57:25Z,5,2017-02-07T21:54:29Z,user2,"- Come up with ideas
- User Survey
- Literature Review
- Create Project Report
- Create Presentation",2017-01-31T08:00:00Z,2307045,4,0,closed,team9,Requirement Analysis,2017-02-09T09:05:34Z
,8,2017-02-06T22:38:46Z,user2,Pre-process Amazon Data from: http://jmcauley.ucsd.edu/data/amazon/,2017-02-28T08:00:00Z,2304228,4,0,open,team10,February Milestone,2017-02-27T04:40:35Z
2017-02-06T22:38:57Z,6,2017-01-26T19:37:29Z,user2,,2017-01-31T08:00:00Z,2280839,1,0,closed,team10,January Milestone,2017-02-06T22:38:57Z
2017-02-06T22:38:55Z,1,2017-01-27T16:08:37Z,user3,Related papers should be read and summarized.,2017-01-28T08:00:00Z,2282605,2,0,closed,team10,Paper summarization  ,2017-02-06T22:38:55Z
2017-02-06T22:37:49Z,0,2017-01-27T16:32:23Z,user3,,2017-01-30T08:00:00Z,2282665,3,0,closed,team10,Statistics extraction from the survey ,2017-02-06T22:37:49Z
