,action,assignee,assignees_name,comments,event_created_at,issue_closed_at,issue_created_at,issue_id,labels_color,labels_name,mclose_created,mdue_created,milestone,milestone_closed_at,milestone_created_at,milestone_due_on,title,user
625,added_to_project,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",6,1486572335.0,1487882786.0,1486571839.0,5,[u'd4c5f9'],[u'MagicLink'],2427222.0,4372335.0,Testing and debugging,1488998487.0,1486571265.0,1490943600.0,MagicLink issues,DevArenaCN
626,added_to_project,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",11,1486572333.0,1487690434.0,1486571856.0,6,[u'c5def5'],[u'VoiceDNA'],2427222.0,4372335.0,Testing and debugging,1488998487.0,1486571265.0,1490943600.0,VoiceDNA issues,DevArenaCN
627,added_to_project,thegreyd,"[u'thegreyd', u'KaustubhG']",3,1486572330.0,1486586053.0,1486571131.0,1,"[u'128A0C', u'e99695']","[u'help wanted', u'UI']",379571.0,56050.0,Code base setup,1486950721.0,1486571150.0,1486627200.0,Set up project base code,DevArenaCN
628,labeled,KaustubhG,[u'KaustubhG'],1,1486572026.0,1486656922.0,1486571863.0,7,[u'e99695'],[u'UI'],379533.0,228808.0,Setup UI for the app,1486950725.0,1486571192.0,1486800000.0,UI design,DevArenaCN
629,labeled,thegreyd,"[u'thegreyd', u'KaustubhG']",3,1486572018.0,1486586053.0,1486571131.0,1,"[u'128A0C', u'e99695']","[u'help wanted', u'UI']",379571.0,56050.0,Code base setup,1486950721.0,1486571150.0,1486627200.0,Set up project base code,DevArenaCN
630,assigned,KaustubhG,[u'KaustubhG'],1,1486571989.0,1486656922.0,1486571863.0,7,[u'e99695'],[u'UI'],379533.0,228808.0,Setup UI for the app,1486950725.0,1486571192.0,1486800000.0,UI design,KaustubhG
631,assigned,KaustubhG,[u'KaustubhG'],1,1486571989.0,1486656922.0,1486571863.0,7,[u'e99695'],[u'UI'],379533.0,228808.0,Setup UI for the app,1486950725.0,1486571192.0,1486800000.0,UI design,DevArenaCN
632,assigned,KaustubhG,[u'KaustubhG'],1,1486571989.0,1486656922.0,1486571863.0,7,[u'e99695'],[u'UI'],379533.0,228808.0,Setup UI for the app,1486950725.0,1486571192.0,1486800000.0,UI design,thegreyd
633,milestoned,KaustubhG,[u'KaustubhG'],1,1486571985.0,1486656922.0,1486571863.0,7,[u'e99695'],[u'UI'],379533.0,228808.0,Setup UI for the app,1486950725.0,1486571192.0,1486800000.0,UI design,DevArenaCN
634,milestoned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",11,1486571977.0,1487690434.0,1486571856.0,6,[u'c5def5'],[u'VoiceDNA'],2427222.0,4372335.0,Testing and debugging,1488998487.0,1486571265.0,1490943600.0,VoiceDNA issues,DevArenaCN
635,labeled,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",11,1486571972.0,1487690434.0,1486571856.0,6,[u'c5def5'],[u'VoiceDNA'],2427222.0,4372335.0,Testing and debugging,1488998487.0,1486571265.0,1490943600.0,VoiceDNA issues,DevArenaCN
636,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",11,1486571967.0,1487690434.0,1486571856.0,6,[u'c5def5'],[u'VoiceDNA'],2427222.0,4372335.0,Testing and debugging,1488998487.0,1486571265.0,1490943600.0,VoiceDNA issues,KaustubhG
637,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",11,1486571967.0,1487690434.0,1486571856.0,6,[u'c5def5'],[u'VoiceDNA'],2427222.0,4372335.0,Testing and debugging,1488998487.0,1486571265.0,1490943600.0,VoiceDNA issues,DevArenaCN
638,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",11,1486571967.0,1487690434.0,1486571856.0,6,[u'c5def5'],[u'VoiceDNA'],2427222.0,4372335.0,Testing and debugging,1488998487.0,1486571265.0,1490943600.0,VoiceDNA issues,thegreyd
639,labeled,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",6,1486571951.0,1487882786.0,1486571839.0,5,[u'd4c5f9'],[u'MagicLink'],2427222.0,4372335.0,Testing and debugging,1488998487.0,1486571265.0,1490943600.0,MagicLink issues,DevArenaCN
640,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",6,1486571947.0,1487882786.0,1486571839.0,5,[u'd4c5f9'],[u'MagicLink'],2427222.0,4372335.0,Testing and debugging,1488998487.0,1486571265.0,1490943600.0,MagicLink issues,KaustubhG
641,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",6,1486571947.0,1487882786.0,1486571839.0,5,[u'd4c5f9'],[u'MagicLink'],2427222.0,4372335.0,Testing and debugging,1488998487.0,1486571265.0,1490943600.0,MagicLink issues,DevArenaCN
642,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",6,1486571947.0,1487882786.0,1486571839.0,5,[u'd4c5f9'],[u'MagicLink'],2427222.0,4372335.0,Testing and debugging,1488998487.0,1486571265.0,1490943600.0,MagicLink issues,thegreyd
643,labeled,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",1,1486571940.0,1487685341.0,1486571741.0,4,[u'c2e0c6'],[u'Fingerprint'],2427222.0,4372335.0,Testing and debugging,1488998487.0,1486571265.0,1490943600.0,Fingerprint authentication issues,DevArenaCN
644,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",1,1486571936.0,1487685341.0,1486571741.0,4,[u'c2e0c6'],[u'Fingerprint'],2427222.0,4372335.0,Testing and debugging,1488998487.0,1486571265.0,1490943600.0,Fingerprint authentication issues,KaustubhG
645,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",1,1486571936.0,1487685341.0,1486571741.0,4,[u'c2e0c6'],[u'Fingerprint'],2427222.0,4372335.0,Testing and debugging,1488998487.0,1486571265.0,1490943600.0,Fingerprint authentication issues,DevArenaCN
646,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",1,1486571936.0,1487685341.0,1486571741.0,4,[u'c2e0c6'],[u'Fingerprint'],2427222.0,4372335.0,Testing and debugging,1488998487.0,1486571265.0,1490943600.0,Fingerprint authentication issues,thegreyd
